customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn,AvgChargesPerMonth,MonthlyCharges
0434-CSFON,0,0,1,0,47,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,4707.1,0,100.1510638,100.5
1215-FIGMP,1,0,0,0,60,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),5450.7,0,90.845,89.9
0526-SXDJP,1,0,1,0,72,0,0,DSL,1,1,1,0,0,0,Two year,0,Bank transfer (automatic),2962,0,41.13888889,42.1
0557-ASKVU,0,0,1,1,18,1,0,DSL,0,0,1,1,0,0,One year,1,Credit card (automatic),957.1,0,53.17222222,54.4
5698-BQJOH,0,0,0,0,9,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,857.25,1,95.25,94.4
5122-CYFXA,0,0,0,0,3,1,0,DSL,0,1,0,1,1,1,Month-to-month,1,Electronic check,244.1,0,81.36666667,75.3
8627-ZYGSZ,1,0,1,0,47,1,1,Fiber optic,0,1,0,0,0,0,One year,1,Electronic check,3650.35,0,77.66702128,78.9
3410-YOQBQ,0,0,0,0,31,1,0,DSL,0,1,1,1,1,1,Two year,0,Mailed check,2497.2,0,80.55483871,79.2
3170-NMYVV,0,0,1,1,50,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),930.9,0,18.618,20.15
7410-OIEDU,1,0,0,0,10,1,0,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Mailed check,887.35,0,88.735,79.85
2273-QCKXA,1,0,0,0,1,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,0,49.05,49.05
0731-EBJQB,0,0,1,1,52,1,0,No,0,0,0,0,0,0,One year,1,Electronic check,1090.65,0,20.97403846,20.4
1891-QRQSA,1,1,1,1,64,1,1,Fiber optic,1,0,1,1,1,1,Two year,1,Bank transfer (automatic),7099,0,110.921875,111.6
8028-PNXHQ,1,0,1,1,62,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),1424.6,0,22.97741935,24.25
5630-AHZIL,0,0,0,1,3,1,0,DSL,1,0,0,1,0,1,Month-to-month,1,Bank transfer (automatic),177.4,0,59.13333333,64.5
2673-CXQEU,0,1,0,0,56,1,1,Fiber optic,1,1,1,0,1,1,One year,0,Electronic check,6139.5,0,109.6339286,110.5
6416-JNVRK,0,0,0,0,46,1,0,DSL,0,0,0,0,0,1,One year,0,Credit card (automatic),2688.85,0,58.45326087,55.65
5590-ZSKRV,0,0,1,1,8,1,0,DSL,1,1,0,0,0,0,Month-to-month,0,Mailed check,482.25,0,60.28125,54.65
0191-ZHSKZ,1,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,2111.3,0,70.37666667,74.75
3887-PBQAO,0,0,1,1,45,1,1,No,0,0,0,0,0,0,One year,1,Credit card (automatic),1216.6,0,27.03555556,25.9
5919-TMRGD,0,0,0,1,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,1,79.35,79.35
8108-UXRQN,0,0,1,1,11,0,0,DSL,1,0,0,0,1,1,Month-to-month,0,Electronic check,565.35,0,51.39545455,50.55
9191-MYQKX,0,0,1,0,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),496.9,1,70.98571429,75.15
9919-YLNNG,0,0,0,0,42,1,0,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),4327.5,0,103.0357143,103.8
0318-ZOPWS,0,0,1,0,49,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),973.35,0,19.86428571,20.15
4445-ZJNMU,1,0,0,0,9,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),918.75,0,102.0833333,99.3
4808-YNLEU,0,0,1,0,35,1,0,DSL,1,0,0,0,1,0,One year,1,Bank transfer (automatic),2215.45,0,63.29857143,62.15
1862-QRWPE,0,0,1,1,48,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),1057,0,22.02083333,20.65
2796-NNUFI,0,0,1,1,46,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,927.1,0,20.15434783,19.95
3016-KSVCP,1,0,1,0,29,0,0,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,1009.25,0,34.80172414,33.75
4767-HZZHQ,1,0,1,1,30,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),2570.2,0,85.67333333,82.05
2424-WVHPL,1,1,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,0,Electronic check,74.7,0,74.7,74.7
7233-PAHHL,1,0,1,1,66,1,1,DSL,1,0,1,1,1,1,Two year,1,Mailed check,5714.25,0,86.57954545,84
6067-NGCEU,0,0,0,0,65,1,1,Fiber optic,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),7107,0,109.3384615,111.05
9848-JQJTX,1,0,0,0,72,1,1,Fiber optic,0,1,1,0,1,1,Two year,1,Bank transfer (automatic),7459.05,0,103.5979167,100.9
8637-XJIVR,0,0,0,0,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,927.35,1,77.27916667,78.95
9803-FTJCG,1,0,1,1,71,1,1,DSL,1,1,0,1,0,0,One year,1,Credit card (automatic),4748.7,0,66.88309859,66.85
0278-YXOOG,1,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,113.85,1,22.77,21.05
3212-KXOCR,1,0,0,0,52,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),1107.2,0,21.29230769,21
4598-XLKNJ,0,1,1,0,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,2514.5,1,100.58,98.5
6380-ARCEH,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.2,0,20.2,20.2
3679-XASPY,0,0,1,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.45,0,19.45,19.45
7123-WQUHX,1,0,0,0,38,1,1,Fiber optic,0,0,1,1,1,0,One year,0,Bank transfer (automatic),3605.6,0,94.88421053,95
5386-THSLQ,0,1,1,0,66,0,0,DSL,0,1,1,0,1,0,One year,0,Bank transfer (automatic),3027.25,0,45.86742424,45.55
3192-NQECA,1,0,1,0,68,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),7611.85,1,111.9389706,110
6180-YBIQI,1,0,0,0,5,0,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,100.2,0,20.04,24.3
6728-DKUCO,0,0,1,1,72,1,1,Fiber optic,1,1,0,0,1,1,One year,1,Electronic check,7303.05,0,101.43125,104.15
9750-BOOHV,0,0,0,0,32,0,0,DSL,1,0,0,0,0,0,One year,0,Mailed check,927.65,0,28.9890625,30.15
8597-CWYHH,1,0,0,0,43,1,1,Fiber optic,0,0,0,0,1,1,One year,0,Mailed check,3921.3,0,91.19302326,94.35
2848-YXSMW,1,0,1,1,72,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),1363.25,0,18.93402778,19.4
0486-HECZI,1,0,1,0,55,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,5238.9,1,95.25272727,96.75
4549-ZDQYY,0,0,0,0,52,1,0,DSL,1,0,1,1,0,0,One year,0,Credit card (automatic),3042.25,0,58.50480769,57.95
5712-AHQNN,0,0,0,0,43,1,0,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,3954.1,0,91.95581395,91.65
4846-WHAFZ,0,1,1,0,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,2868.15,1,77.51756757,76.5
5256-SKJGO,0,0,1,1,64,0,0,DSL,0,1,0,1,1,1,Two year,1,Electronic check,3423.5,0,53.4921875,54.6
3071-VBYPO,1,0,1,1,3,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,248.4,0,82.8,89.85
9560-BBZXK,0,0,0,0,36,0,0,DSL,1,0,0,0,0,0,Two year,0,Bank transfer (automatic),1126.35,0,31.2875,31.05
5299-RULOA,0,0,1,1,10,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,1064.65,1,106.465,100.25
8402-OOOHJ,0,0,0,0,41,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,835.15,0,20.3695122,20.65
9445-ZUEQE,1,0,1,1,27,1,1,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Credit card (automatic),2151.6,0,79.68888889,85.2
1091-SOZGA,0,0,1,1,56,1,1,Fiber optic,0,0,1,0,1,1,One year,1,Credit card (automatic),5515.45,0,98.49017857,99.8
2928-HLDBA,0,0,0,0,6,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,112.75,0,18.79166667,20.7
0404-SWRVG,1,0,0,0,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,229.55,1,76.51666667,74.4
6497-TILVL,0,0,1,1,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,350.35,0,50.05,50.7
7219-TLZHO,0,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,62.9,0,15.725,20.85
4622-YNKIJ,1,0,0,0,33,1,0,Fiber optic,1,0,0,1,1,0,Two year,1,Electronic check,3027.65,0,91.7469697,88.95
4412-YLTKF,0,1,0,0,27,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,2135.5,1,79.09259259,78.05
6734-PSBAW,1,0,1,0,72,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),1723.95,0,23.94375,23.55
3930-ZGWVE,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.75,0,19.75,19.75
2639-UGMAZ,1,1,0,0,71,0,0,DSL,1,1,0,0,1,1,One year,1,Electronic check,3985.35,0,56.13169014,56.45
2876-GZYZC,0,0,0,0,13,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,1215.65,0,93.51153846,85.95
6207-WIOLX,0,0,1,1,25,0,0,DSL,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),1502.65,1,60.106,58.6
8587-XYZSF,1,0,0,0,67,1,0,DSL,0,0,0,1,0,0,Two year,0,Bank transfer (automatic),3260.1,0,48.65820896,50.55
3091-FYHKI,1,0,0,0,1,0,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,35.45,1,35.45,35.45
2372-HWUHI,1,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,81.25,1,40.625,44.35
7799-LGRDP,0,0,0,0,43,1,1,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),1188.2,0,27.63255814,25.7
7850-VWJUU,0,0,0,0,23,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1778.5,0,77.32608696,75
3774-VBNXY,0,0,1,1,64,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,1277.75,0,19.96484375,20.2
6217-KDYWC,1,0,0,1,57,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,1170.55,0,20.53596491,19.6
0390-DCFDQ,0,1,1,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,70.45,1,70.45,70.45
3146-MSEGF,0,1,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),6425.65,0,89.24513889,88.05
4080-OGPJL,0,0,0,0,8,1,1,DSL,1,0,0,1,0,1,Month-to-month,0,Electronic check,563.65,1,70.45625,71.15
1095-WGNGG,0,0,1,0,61,1,1,Fiber optic,0,1,0,0,1,1,Two year,1,Bank transfer (automatic),5971.25,0,97.88934426,101.05
2636-SJDOU,1,0,0,0,64,1,1,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),5289.05,0,82.64140625,84.3
1131-QQZEB,1,1,1,0,71,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),1756.2,0,24.73521127,23.95
5716-EZXZN,0,0,1,1,65,1,1,Fiber optic,1,1,0,1,1,0,Two year,1,Credit card (automatic),6416.7,0,98.71846154,99.05
6837-BJYDQ,1,0,0,0,3,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,61.35,0,20.45,19.6
2135-RXIHG,1,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.65,1,45.65,45.65
6440-DKQGE,1,0,0,1,30,1,0,DSL,0,1,1,0,1,0,One year,0,Credit card (automatic),1929.95,0,64.33166667,64.5
3466-BYAVD,1,0,1,1,15,1,0,DSL,0,1,1,1,0,1,Month-to-month,1,Mailed check,1071.4,0,71.42666667,69.5
3780-YVMFA,0,0,1,1,8,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Electronic check,564.35,0,70.54375,68.55
3874-EQOEP,1,0,0,0,7,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Mailed check,655.5,1,93.64285714,95
1679-JRFBR,0,0,1,1,70,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Credit card (automatic),7930.55,0,113.2935714,108.15
9073-ZZIAY,1,0,1,1,62,1,0,DSL,1,1,1,1,1,1,Two year,0,Electronic check,5215.25,0,84.11693548,86.1
3077-RSNTJ,0,0,1,1,6,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,113.5,0,18.91666667,19.7
6551-GNYDG,0,0,1,1,14,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),1152.8,0,82.34285714,80.9
9167-APMXZ,0,0,0,0,22,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),1821.95,0,82.81590909,84.15
2749-CTKAJ,1,0,1,1,22,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,419.9,0,19.08636364,20.15
6371-NZYEG,1,0,1,1,16,1,0,DSL,1,0,1,0,1,0,Two year,0,Mailed check,1024,0,64,64.25
7554-NEWDD,1,0,0,0,10,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),251.6,0,25.16,25.7
8992-VONJD,0,0,0,1,13,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Electronic check,764.55,0,58.81153846,56
0867-MKZVY,0,0,1,0,20,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,1592.35,1,79.6175,82.4
4482-EWFMI,0,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,135.2,0,67.6,69.7
4648-YPBTM,1,0,0,0,53,1,1,DSL,0,1,1,1,0,1,Two year,1,Bank transfer (automatic),3958.25,0,74.68396226,73.9
2907-ILJBN,0,0,1,1,11,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,233.9,0,21.26363636,20.6
6345-FZOQH,1,0,1,0,69,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,1363.45,0,19.76014493,19.9
3376-BMGFE,0,0,0,0,4,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),273,1,68.25,70.9
5997-OPVFA,1,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),6254.45,0,86.86736111,89.05
3445-HXXGF,1,1,1,0,58,0,0,DSL,0,1,1,0,0,1,Month-to-month,1,Electronic check,2651.2,1,45.71034483,45.3
1159-WFSGR,0,0,1,1,16,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,321.4,0,20.0875,20.4
7654-YWJUF,1,0,1,0,43,1,0,Fiber optic,1,0,1,1,0,0,One year,1,Bank transfer (automatic),3539.25,0,82.30813953,84.25
1875-QIVME,0,0,1,0,2,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,242.8,1,121.4,104.4
6727-IOTLZ,1,0,1,0,14,1,0,DSL,0,1,1,1,1,1,Two year,0,Mailed check,1181.75,0,84.41071429,81.95
0691-JVSYA,0,0,1,0,53,1,0,Fiber optic,0,0,1,0,1,1,One year,1,Bank transfer (automatic),5000.2,1,94.34339623,94.85
5918-VUKWP,0,0,0,0,32,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),654.55,0,20.4546875,20.55
1744-JHKYS,0,0,1,0,34,1,1,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,780.2,0,22.94705882,24.7
2656-FMOKZ,0,1,0,0,15,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,1145.7,1,76.38,74.45
2070-FNEXE,0,1,0,0,7,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),503.6,1,71.94285714,76.45
5947-SGKCL,0,0,1,1,15,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),1559.25,0,103.95,105.35
3712-PKXZA,1,0,1,0,61,1,0,No,0,0,0,0,0,0,One year,1,Credit card (automatic),1252,0,20.52459016,20.55
6317-YPKDH,0,0,0,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Bank transfer (automatic),29.95,1,29.95,29.95
6582-OIVSP,0,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,45.3,0,45.3,45.3
9367-WXLCH,1,0,0,0,8,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Bank transfer (automatic),662.65,1,82.83125,84.5
5524-KHNJP,1,0,1,1,33,1,0,DSL,1,0,1,0,1,1,One year,0,Credit card (automatic),2453.3,0,74.34242424,74.75
1918-ZBFQJ,0,0,0,0,13,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,1111.65,1,85.51153846,79.25
1024-GUALD,0,0,1,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,24.8,1,24.8,24.8
4827-USJHP,1,0,0,0,20,1,0,DSL,0,1,0,0,0,0,Month-to-month,1,Mailed check,1023.85,0,51.1925,51.8
8167-GJLRN,1,0,0,0,3,0,0,DSL,0,0,0,1,0,0,Month-to-month,0,Electronic check,82.15,0,27.38333333,30.4
0956-SYCWG,0,0,0,0,13,1,0,No,0,0,0,0,0,0,One year,0,Electronic check,244.8,0,18.83076923,19.65
8017-UVSZU,0,0,1,0,40,1,1,DSL,0,1,0,0,0,0,Month-to-month,0,Credit card (automatic),2379.1,0,59.4775,56.6
7100-FQPRV,1,0,1,1,43,1,1,DSL,1,0,0,1,0,1,One year,1,Credit card (automatic),3173.35,0,73.79883721,71.9
2472-OVKUP,1,0,1,0,6,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,531,1,88.5,91
2984-RGEYA,0,0,1,1,69,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),1375.4,0,19.93333333,19.75
